diaObjectId,ra,decl,BBBRiseRate,BBBFallRate,nSourcesGood,classification
313928194151940140,58.23811,-50.092494,0.269626,0.0316076,147,SN
313928194157183045,57.37255,-49.321661,0.334613,0.0431944,54,ORPHAN
313928194187591742,57.52740,-48.028905,0.288815,0.0301785,59,ORPHAN
313928194288779300,61.64854,-48.223934,0.24463,0.037649,59,SN
313928194440822821,149.14659,2.421817,7.20317,0.0305149,83,SN
313928194477522960,151.40881,1.660923,0.210652,0.0327027,298,SN
313932595693879358,150.50076,3.688986,0.234873,0.242677,10,SN
313932595758366765,150.82152,1.053732,0.242124,0.0429901,143,SN
313936965428314117,62.58015,-49.641212,0.226397,0.028726,10,SN
313936965428314169,62.37713,-49.655915,0.596371,0.0297413,69,SN
313936975744204886,54.48043,-28.503371,0.0853502,0.00801473,19,SN
313941449016606803,61.60582,-47.946150,9.45393,0.0508607,14,UNCLEAR
313945770525982796,63.59252,-47.483357,0.364813,0.0250572,37,SN
313945770546430083,61.82481,-47.449687,0.49205,0.0242808,106,SN
313950161093525605,54.74876,-28.237288,0.187775,0.16035,32,SN
313963357429825638,61.86959,-48.281441,0.277767,0.0307464,47,SN
313963359364448306,57.59132,-49.905420,0.312009,0.0382209,29,SN
313963405211861086,149.23037,0.872917,0.309268,0.0311434,472,SN
313963406226882573,150.94901,1.972571,6.04649,0.013927,43,SN
313967766688235631,150.15153,1.336763,0.175641,0.000628309,23,SN
313967766785753197,151.12450,2.995598,0.151252,0.0190593,43,SN
313972155193229351,60.77804,-48.011278,1.05044,0.00728785,40,SN
313972183320756336,148.79534,3.032907,0.792359,0.0270141,6,VS
313972183385243723,149.50247,1.268537,3.19866,0.0244819,6,ORPHAN
313972183404642318,149.93876,0.852307,1.33005,0.0481343,6,ORPHAN
313980945119576112,59.67676,-48.521133,0.784402,0.0318039,279,SN
313994139493466175,51.40583,-28.234044,0.370906,0.00219671,21,ORPHAN
313998570452156453,151.08576,0.776457,0.0378348,0.0394886,11,SN
314003013747867732,150.69004,3.498246,0.0246406,0.0266832,30,SN
